relationship	source	target	output	correct	correct (manual)	wrong_honorific_types	honorific_types	structure_types
あなたは山本に敬語を使いません。あなたと山本は木村に敬語を使いません。	木村に山本が与える。	木村に山本が与える。	木村に山本が与える	1	1		NA#	scrambling#
あなたは鈴木に敬語を使いません。あなたと鈴木は佐々木さんに敬語を使います。	鈴木に佐々木さんが感謝する。	鈴木に佐々木さんが感謝なさる。	佐々木さんが鈴木に感謝なさる	0	1		SH#	scrambling#
あなたは中村に敬語を使いません。あなたと中村は井上さんに敬語を使います。	井上さんに中村が依頼する。	井上さんに中村がご依頼する。	中村が井上さんにご依頼する	0	1		OH1#	scrambling#
あなたは高橋社長に敬語を使います。あなたと高橋社長は山田先生に敬語を使います。	高橋社長に山田先生が会う。	高橋社長に山田先生がお会いになる。	山田先生が高橋社長にお会いになる	0	1		SH#	scrambling#
あなたは鈴木さんに敬語を使います。あなたと鈴木さんは中村先輩に敬語を使います。	中村先輩に鈴木さんが依頼する。	中村先輩に鈴木さんがご依頼する。	中村先輩に鈴木さんがご依頼する	1	1		OH1#	scrambling#
あなたは林に敬語を使いません。あなたと林は山田に敬語を使いません。	山田を林が見送る。	山田を林が見送る。	林が山田を見送る	0	1		NA#	scrambling#
あなたは松本に敬語を使いません。あなたと松本は山本社長に敬語を使います。	松本を山本社長が紹介する。	松本を山本社長が紹介なさる。	山本社長が松本を紹介なさる	0	1		SH#	scrambling#
あなたは斎藤に敬語を使いません。あなたと斎藤は加藤先輩に敬語を使います。	加藤先輩を斎藤が手伝う。	加藤先輩を斎藤がお手伝いする。	加藤先輩を斎藤がお手伝いする	1	1		OH1#	scrambling#
あなたは加藤社長に敬語を使います。あなたと加藤社長は小林教授に敬語を使います。	加藤社長を小林教授が呼ぶ。	加藤社長を小林教授がお呼びになる。	小林教授が加藤社長をお呼びになる	0	1		SH#	scrambling#
あなたは高橋さんに敬語を使います。あなたと高橋さんは加藤様に敬語を使います。	加藤様を高橋さんが見送る。	加藤様を高橋さんがお見送りする。	加藤様を高橋さんがお見送りする	1	1		OH1#	scrambling#
あなたは田中に敬語を使いません。あなたと田中は加藤に敬語を使いません。	田中が加藤が食べると思う。	田中が加藤が食べると思う。	田中が加藤が食べる	0	0		NA#NA	indirect-speech#center-embedding
あなたは田中に敬語を使いません。あなたと田中は高橋先輩に敬語を使います。	高橋先輩が田中が行くと言う。	高橋先輩が田中が行くとおっしゃる。	高橋先輩が田中が行く	0	0		SH#NA	indirect-speech#center-embedding
あなたは小林に敬語を使いません。あなたと小林は加藤先生に敬語を使います。	小林が加藤先生が見ると言う。	小林が加藤先生がご覧になると言う。	小林が加藤先生がご覧になる	0	0		NA#SH	indirect-speech#center-embedding
あなたは山本さんに敬語を使います。あなたと山本さんは山口さんに敬語を使います。	山口さんが山本さんが来ると理解する。	山口さんが山本さんがおいでになるとご理解になる。	山口さんが山本さんが来ることを理解する	0	0		SH#SH	indirect-speech#center-embedding
あなたは加藤教授に敬語を使います。あなたと加藤教授は渡辺さんに敬語を使います。	加藤教授が渡辺さんが見ると思う。	加藤教授が渡辺さんがご覧になるとお思いになる。	加藤教授が渡辺さんがご覧になる	0	0		SH#SH	indirect-speech#center-embedding
あなたは佐藤に敬語を使いません。あなたと佐藤は山本に敬語を使いません。	山本が食べると佐藤が理解する。	山本が食べると佐藤が理解する。	山本が食べる	0	0		NA#NA	indirect-speech#scrambling
あなたは林に敬語を使いません。あなたと林は山田社長に敬語を使います。	林が聞くと山田社長が知る。	林が聞くと山田社長が知りなさる。	林が聞くと山田社長が知りなさる	1	1		SH#NA	indirect-speech#scrambling
あなたは中村に敬語を使いません。あなたと中村は山本社長に敬語を使います。	山本社長が見ると中村が考える。	山本社長がご覧になると中村が考える。	山本社長がご覧になると中村が考える	1	1		NA#SH	indirect-speech#scrambling
あなたは井上様に敬語を使います。あなたと井上様は山口先輩に敬語を使います。	井上様が帰ると山口先輩が思う。	井上様がお帰りになると山口先輩が思いなさる。	井上様が帰ると山口先輩がお思いになる	0	0		SH#SH	indirect-speech#scrambling
あなたは田中先生に敬語を使います。あなたと田中先生は小林様に敬語を使います。	小林様が読むと田中先生が理解する。	小林様がお読みになると田中先生が理解なさる。	小林様が読みなさると田中先生が理解する	0	0		SH#SH	indirect-speech#scrambling
あなたは林に敬語を使いません。あなたと林は山本に敬語を使いません。	林が「山本が受け取る」と考える。	林が「山本が受け取る」と考える。	林が「山本が受け取る」と考える	1	1		NA#NA	direct-speech#center-embedding
あなたは吉田に敬語を使いません。あなたと吉田は佐々木先生に敬語を使います。	佐々木先生が「吉田が行く」と思う。	佐々木先生が「吉田が行く」とお思いになる。	佐々木先生が「吉田が行く」とお考えになる	0	1		SH#NA	direct-speech#center-embedding
あなたは伊藤に敬語を使いません。あなたと伊藤は佐藤先輩に敬語を使います。	伊藤が「佐藤先輩が読む」と言う。	伊藤が「佐藤先輩が読みなさる」と言う。	伊藤が「佐藤先輩が読みなさる」と言う	1	1		NA#SH	direct-speech#center-embedding
あなたは木村に敬語を使います。あなたと木村は山口博士に敬語を使います。	山口博士が「木村が読む」と知る。	山口博士が「木村が読む」とご存じである。	山口博士が「木村が読む」と知りなさる	0	0		SH#NA	direct-speech#center-embedding
あなたは山田教授に敬語を使います。あなたと山田教授は小林先生に敬語を使います。	山田教授が「小林先生が見る」と言う。	山田教授が「小林先生がご覧になる」とおっしゃる。	山田教授が「小林先生がご覧になる」と言う	0	0		SH#SH	direct-speech#center-embedding
あなたは伊藤に敬語を使いません。あなたと伊藤は松本に敬語を使いません。	「松本が受け取る」と伊藤が思う。	「松本が受け取る」と伊藤が思う。	松本が受け取る	0	0		NA#NA	direct-speech#scrambling
あなたは鈴木に敬語を使いません。あなたと鈴木は加藤様に敬語を使います。	「鈴木が聞く」と加藤様が思う。	「鈴木が聞く」と加藤様がお思いになる。	鈴木が聞く	0	0		SH#NA	direct-speech#scrambling
あなたは林に敬語を使いません。あなたと林は佐々木社長に敬語を使います。	「佐々木社長が帰る」と林が理解する。	「佐々木社長がお帰りになる」と林が理解する。	佐々木社長がお帰りになる	0	0		NA#SH	direct-speech#scrambling
あなたは松本に敬語を使います。あなたと松本は山本先輩に敬語を使います。	「松本が来る」と山本先輩が言う。	「松本が来る」と山本先輩がおっしゃる。	山本先輩が来られる	0	0		SH#NA	direct-speech#scrambling
あなたは山本社長に敬語を使います。あなたと山本社長は山田教授に敬語を使います。	「山田教授が来る」と山本社長が思う。	「山田教授がおいでになる」と山本社長がお思いになる。	「山田教授がおいでになる」と山本社長が思う	0	0		SH#SH	direct-speech#scrambling
あなたは山田に敬語を使いません。あなたと山田は井上に敬語を使いません。	井上に山田がお伝えになる。	井上に山田が伝える。	井上に山田が伝える	1	1	SH#	NA#	scrambling#
あなたは山口に敬語を使いません。あなたと山口は吉田に敬語を使いません。	吉田に山口が差し上げる。	吉田に山口が与える。	吉田に山口が与える	1	1	OH1#	NA#	scrambling#
あなたは渡辺に敬語を使いません。あなたと渡辺は鈴木先輩に敬語を使います。	渡辺に鈴木先輩がお会いする。	渡辺に鈴木先輩がお会いになる。	鈴木先輩が渡辺にお会いになる	0	1	OH1#	SH#	scrambling#
あなたは田中に敬語を使いません。あなたと田中は中村先輩に敬語を使います。	中村先輩に田中がお会いになる。	中村先輩に田中がお目にかかる。	中村先輩に田中がお会いする	0	1	SH#	OH1#	scrambling#
あなたは鈴木先輩に敬語を使います。あなたと鈴木先輩は山本博士に敬語を使います。	鈴木先輩に山本博士が差し上げる。	鈴木先輩に山本博士が与えなさる。	山本博士が鈴木先輩に与えなさる	0	1	OH1#	SH#	scrambling#
あなたは田中先輩に敬語を使います。あなたと田中先輩は鈴木社長に敬語を使います。	鈴木社長に田中先輩がお会いになる。	鈴木社長に田中先輩がお会いする。	鈴木社長に田中先輩がお会いする	1	1	SH#	OH1#	scrambling#
あなたは松本に敬語を使いません。あなたと松本は林に敬語を使いません。	林を松本が呼びなさる。	林を松本が呼ぶ。	松本が林を呼ぶ	0	1	SH#	NA#	scrambling#
あなたは佐藤に敬語を使いません。あなたと佐藤は松本に敬語を使いません。	松本を佐藤がお呼びする。	松本を佐藤が呼ぶ。	佐藤が松本を呼ぶ	0	1	OH1#	NA#	scrambling#
あなたは伊藤に敬語を使いません。あなたと伊藤は田中さんに敬語を使います。	伊藤を田中さんがお待ちする。	伊藤を田中さんが待ちなさる。	田中さんが伊藤を待ちなさる	0	1	OH1#	SH#	scrambling#
あなたは山本に敬語を使いません。あなたと山本は佐々木教授に敬語を使います。	佐々木教授を山本が見送りなさる。	佐々木教授を山本がお見送りする。	佐々木教授を山本がお見送りする	1	1	SH#	OH1#	scrambling#
あなたは山田先生に敬語を使います。あなたと山田先生は林先生に敬語を使います。	山田先生を林先生がお待ちする。	山田先生を林先生が待ちなさる。	山田先生を林先生が待ちなさる	1	1	OH1#	SH#	scrambling#
あなたは木村教授に敬語を使います。あなたと木村教授は伊藤博士に敬語を使います。	伊藤博士を木村教授が紹介なさる。	伊藤博士を木村教授がご紹介する。	伊藤博士を木村教授がご紹介する	1	1	SH#	OH1#	scrambling#
あなたは渡辺に敬語を使いません。あなたと渡辺は山田に敬語を使いません。	渡辺が山田が行くとお思いになる。	渡辺が山田が行くと思う。	渡辺が山田が行く	0	0	SH#	NA#NA	indirect-speech#center-embedding
あなたは渡辺に敬語を使いません。あなたと渡辺は木村に敬語を使いません。	渡辺が木村が見ると考えなさる。	渡辺が木村が見ると考える。	渡辺が木村が見る	0	0	SH#	NA#NA	indirect-speech#center-embedding
あなたは山田に敬語を使いません。あなたと山田は松本様に敬語を使います。	松本様が山田が読むと拝察する。	松本様が山田が読むとお考えになる。	松本様が山田が読む	0	0	OH1#NA	SH#NA	indirect-speech#center-embedding
あなたは鈴木に敬語を使いません。あなたと鈴木は林様に敬語を使います。	鈴木が林様がおいとますると思う。	鈴木が林様がお帰りになると思う。	鈴木が林様がお帰りになると思う	1	1	NA#OH1	NA#SH	indirect-speech#center-embedding
あなたは伊藤先輩に敬語を使います。あなたと伊藤先輩は松本様に敬語を使います。	松本様が伊藤先輩がお聞きになると考える。	松本様が伊藤先輩がお聞きになるとお考えになる。	松本様が伊藤先輩が聞く	0	0	NA#SH	SH#SH	indirect-speech#center-embedding
あなたは井上社長に敬語を使います。あなたと井上社長は佐藤社長に敬語を使います。	佐藤社長が井上社長が読むとお思いになる。	佐藤社長が井上社長が読みなさると思いなさる。	佐藤社長が井上社長が読む	0	0	SH#NA	SH#SH	indirect-speech#center-embedding
あなたは佐々木先生に敬語を使います。あなたと佐々木先生は井上さんに敬語を使います。	井上さんが佐々木先生が召し上がると拝察する。	井上さんが佐々木先生がお食べになるとお考えになる。	井上さんが佐々木先生が召し上がる	0	0	OH1#SH	SH#SH	indirect-speech#center-embedding
あなたは中村先輩に敬語を使います。あなたと中村先輩は鈴木教授に敬語を使います。	鈴木教授が中村先輩が伺うとご存じである。	鈴木教授が中村先輩が行きなさるとご存じである。	鈴木教授が中村先輩がお伺いになる	0	0	SH#OH1	SH#SH	indirect-speech#center-embedding
あなたは加藤教授に敬語を使います。あなたと加藤教授は井上様に敬語を使います。	井上様が加藤教授がおいとますると拝察する。	井上様が加藤教授がお帰りになると思いなさる。	井上様が加藤教授がお帰りになるとご覧になる	1	0	OH1#OH1	SH#SH	indirect-speech#center-embedding
あなたは鈴木教授に敬語を使います。あなたと鈴木教授は渡辺博士に敬語を使います。	鈴木教授が渡辺博士がおいでになると言う。	鈴木教授が渡辺博士が行きなさるとおっしゃる。	鈴木教授が渡辺博士がおいでになる	0	0	NA#SH	SH#SH	indirect-speech#center-embedding
あなたは木村様に敬語を使います。あなたと木村様は井上博士に敬語を使います。	木村様が井上博士が聞くと理解なさる。	木村様が井上博士が聞きなさるとご理解になる。	木村様が井上博士が聞きなさる	0	0	SH#NA	SH#SH	indirect-speech#center-embedding
あなたは斎藤さんに敬語を使います。あなたと斎藤さんは松本博士に敬語を使います。	斎藤さんが松本博士がご覧になると拝察する。	斎藤さんが松本博士がご覧になるとお思いになる。	斎藤さんが松本博士がご覧になるとご覧になる	1	0	OH1#SH	SH#SH	indirect-speech#center-embedding
あなたは木村様に敬語を使います。あなたと木村様は小林先輩に敬語を使います。	木村様が小林先輩が伺うと考えなさる。	木村様が小林先輩がおいでになると考えなさる。	木村様が小林先輩がおいでになる	0	0	SH#OH1	SH#SH	indirect-speech#center-embedding
あなたは木村さんに敬語を使います。あなたと木村さんは加藤教授に敬語を使います。	木村さんが加藤教授がお受け取りすると存じ上げる。	木村さんが加藤教授が受け取りなさるとご存じである。	木村さんが加藤教授が受け取ることがご存じになる	0	0	OH1#OH1	SH#SH	indirect-speech#center-embedding
あなたは山口に敬語を使いません。あなたと山口は吉田に敬語を使いません。	吉田が食べると山口がおっしゃる。	吉田が食べると山口が言う。	吉田が食べる	0	0	SH#NA	NA#NA	indirect-speech#scrambling
あなたは山本に敬語を使いません。あなたと山本は佐々木に敬語を使いません。	佐々木が行くと山本が存じ上げる。	佐々木が行くと山本が知る。	佐々木が行くと山本が知る	1	1	OH1#NA	NA#NA	indirect-speech#scrambling
あなたは高橋に敬語を使いません。あなたと高橋は伊藤に敬語を使いません。	伊藤がお帰りになると高橋が考える。	伊藤が帰ると高橋が考える。	伊藤が帰ると高橋が考える	1	1	NA#SH	NA#NA	indirect-speech#scrambling
あなたは山田に敬語を使いません。あなたと山田は佐藤に敬語を使いません。	佐藤がおいとますると山田が思う。	佐藤が帰ると山田が思う。	佐藤が帰ると山田が思う	1	1	NA#OH1	NA#NA	indirect-speech#scrambling
あなたは井上に敬語を使いません。あなたと井上は高橋教授に敬語を使います。	井上が聞くと高橋教授が承知する。	井上が聞くと高橋教授が理解なさる。	井上が聞くと高橋教授が承知なさる	0	0	OH1#NA	SH#NA	indirect-speech#scrambling
あなたは木村に敬語を使いません。あなたと木村は林博士に敬語を使います。	林博士が伺うと木村が理解する。	林博士がおいでになると木村が理解する。	林博士がおいでになる	0	0	NA#OH1	NA#SH	indirect-speech#scrambling
あなたは井上先輩に敬語を使います。あなたと井上先輩は林社長に敬語を使います。	井上先輩が聞きなさると林社長が知る。	井上先輩がお聞きになると林社長がご存じである。	井上先輩が聞く	0	0	NA#SH	SH#SH	indirect-speech#scrambling
あなたは高橋様に敬語を使います。あなたと高橋様は加藤教授に敬語を使います。	高橋様が帰ると加藤教授がおっしゃる。	高橋様がお帰りになると加藤教授がおっしゃる。	高橋様が帰ると加藤教授がおっしゃる	0	0	SH#NA	SH#SH	indirect-speech#scrambling
あなたは山本先生に敬語を使います。あなたと山本先生は井上教授に敬語を使います。	山本先生がご覧になると井上教授が存じ上げる。	山本先生がご覧になると井上教授が知りなさる。	山本先生がご覧になると井上教授がご存じになる	0	1	OH1#SH	SH#SH	indirect-speech#scrambling
あなたは井上さんに敬語を使います。あなたと井上さんは斎藤教授に敬語を使います。	井上さんが拝見すると斎藤教授がおっしゃる。	井上さんがご覧になると斎藤教授がおっしゃる。	井上さんがご覧になると斎藤教授がおっしゃる	1	1	SH#OH1	SH#SH	indirect-speech#scrambling
あなたは吉田博士に敬語を使います。あなたと吉田博士は井上先輩に敬語を使います。	吉田博士が伺うと井上先輩が拝察する。	吉田博士がお聞きになると井上先輩がお考えになる。	吉田博士がお伺いする	0	0	OH1#OH1	SH#SH	indirect-speech#scrambling
あなたは井上博士に敬語を使います。あなたと井上博士は加藤社長に敬語を使います。	加藤社長がお食べになると井上博士が言う。	加藤社長が召し上がると井上博士がおっしゃる。	加藤社長がお召し上がると井上博士が言う	0	0	NA#SH	SH#SH	indirect-speech#scrambling
あなたは木村様に敬語を使います。あなたと木村様は渡辺教授に敬語を使います。	渡辺教授が食べると木村様がお思いになる。	渡辺教授が召し上がると木村様が思いなさる。	渡辺教授が召し上がると木村様が思いなす	0	0	SH#NA	SH#SH	indirect-speech#scrambling
あなたは中村教授に敬語を使います。あなたと中村教授は林博士に敬語を使います。	林博士がお聞きになると中村教授が拝察する。	林博士がお聞きになると中村教授がお考えになる。	林博士がお聞きになると中村教授がお見せする	0	0	OH1#SH	SH#SH	indirect-speech#scrambling
あなたは山本社長に敬語を使います。あなたと山本社長は伊藤教授に敬語を使います。	伊藤教授が頂戴すると山本社長がご理解になる。	伊藤教授が召し上がると山本社長がご理解になる。	伊藤教授がお召しになると山本社長がご理解する	0	0	SH#OH1	SH#SH	indirect-speech#scrambling
あなたは山本社長に敬語を使います。あなたと山本社長は田中様に敬語を使います。	田中様が頂戴すると山本社長が拝察する。	田中様がお食べになると山本社長がお考えになる。	###\n\n田中様がお召しになると山本社長がお見せする	0	0	OH1#OH1	SH#SH	indirect-speech#scrambling
あなたは伊藤に敬語を使いません。あなたと伊藤は松本に敬語を使いません。	伊藤が「松本が行く」とおっしゃる。	伊藤が「松本が行く」と言う。	伊藤が「松本が行く」と言う	1	1	SH#NA	NA#NA	direct-speech#center-embedding
あなたは吉田に敬語を使いません。あなたと吉田は小林に敬語を使いません。	吉田が「小林が行く」と拝察する。	吉田が「小林が行く」と思う。	吉田が「小林が行く」と見る	0	1	OH1#NA	NA#NA	direct-speech#center-embedding
あなたは佐々木に敬語を使いません。あなたと佐々木は渡辺に敬語を使いません。	佐々木が「渡辺がおいでになる」と知る。	佐々木が「渡辺が行く」と知る。	佐々木が「渡辺が来る」と知る	0	1	NA#SH	NA#NA	direct-speech#center-embedding
あなたは山本に敬語を使いません。あなたと山本は佐々木に敬語を使いません。	山本が「佐々木が頂戴する」と言う。	山本が「佐々木が食べる」と言う。	山本が「佐々木が召し上がる」と言う	0	0	NA#OH1	NA#NA	direct-speech#center-embedding
あなたは高橋に敬語を使いません。あなたと高橋は山本さんに敬語を使います。	山本さんが「高橋が帰る」と拝察する。	山本さんが「高橋が帰る」と思いなさる。	山本さんが「高橋がお帰りになる」とご覧になる	0	0	OH1#NA	SH#NA	direct-speech#center-embedding
あなたは山田に敬語を使いません。あなたと山田は中村社長に敬語を使います。	山田が「中村社長がお読みする」と知る。	山田が「中村社長がお読みになる」と知る。	山田が「中村社長がお読みになる」と知る	1	1	NA#OH1	NA#SH	direct-speech#center-embedding
あなたは吉田に敬語を使います。あなたと吉田は木村さんに敬語を使います。	木村さんが「吉田が見る」と拝察する。	木村さんが「吉田が見る」とお思いになる。	木村さんが「吉田が見る」とご覧になる	0	1	OH1#NA	SH#NA	direct-speech#center-embedding
あなたは小林に敬語を使います。あなたと小林は中村教授に敬語を使います。	中村教授が「小林がおいでになる」と思う。	中村教授が「小林が来る」と思いなさる。	中村教授が「小林が来る」と思う	0	0	NA#SH	SH#NA	direct-speech#center-embedding
あなたは山本に敬語を使います。あなたと山本は渡辺さんに敬語を使います。	渡辺さんが「山本がお読みする」と言う。	渡辺さんが「山本が読む」とおっしゃる。	渡辺さんが「山本が読む」とおっしゃる	1	1	NA#OH1	SH#NA	direct-speech#center-embedding
あなたは加藤に敬語を使います。あなたと加藤は松本先生に敬語を使います。	松本先生が「加藤が読みなさる」とおっしゃる。	松本先生が「加藤が読む」とおっしゃる。	松本先生が「加藤が読む」とおっしゃる	1	1	SH#SH	SH#NA	direct-speech#center-embedding
あなたは木村博士に敬語を使います。あなたと木村博士は林様に敬語を使います。	木村博士が「林様がご覧になる」と理解する。	木村博士が「林様がご覧になる」とご理解になる。	木村博士が「林様がご覧になる」と理解する	0	0	NA#SH	SH#SH	direct-speech#center-embedding
あなたは伊藤博士に敬語を使います。あなたと伊藤博士は林さんに敬語を使います。	伊藤博士が「林さんが食べる」と思いなさる。	伊藤博士が「林さんが召し上がる」と思いなさる。	伊藤博士が「林さんが召し上がる」と思う	0	0	SH#NA	SH#SH	direct-speech#center-embedding
あなたは小林教授に敬語を使います。あなたと小林教授は木村社長に敬語を使います。	小林教授が「木村社長がお受け取りになる」と申し上げる。	小林教授が「木村社長がお受け取りになる」とおっしゃる。	小林教授が「木村社長がお受け取りになる」とお伝えする	0	0	OH1#SH	SH#SH	direct-speech#center-embedding
あなたは松本様に敬語を使います。あなたと松本様は田中さんに敬語を使います。	松本様が「田中さんがお聞きする」と思いなさる。	松本様が「田中さんが聞きなさる」と思いなさる。	松本様が「田中さんがお聞きになる」と思う	0	0	SH#OH1	SH#SH	direct-speech#center-embedding
あなたは林教授に敬語を使います。あなたと林教授は斎藤博士に敬語を使います。	林教授が「斎藤博士がお受け取りする」と拝察する。	林教授が「斎藤博士が受け取りなさる」とお考えになる。	林教授が「斎藤博士がお受け取りになる」とお伺いする	0	0	OH1#OH1	SH#SH	direct-speech#center-embedding
あなたは林に敬語を使いません。あなたと林は高橋に敬語を使いません。	「高橋が受け取る」と林がご存じである。	「高橋が受け取る」と林が知る。	高橋が受け取る	0	0	SH#NA	NA#NA	direct-speech#scrambling
あなたは井上に敬語を使いません。あなたと井上は鈴木に敬語を使いません。	「鈴木が行く」と井上が拝察する。	「鈴木が行く」と井上が思う。	「鈴木が行く」と井上が見る	0	1	OH1#NA	NA#NA	direct-speech#scrambling
あなたは田中に敬語を使いません。あなたと田中は加藤に敬語を使いません。	「加藤が受け取りなさる」と田中が言う。	「加藤が受け取る」と田中が言う。	加藤が受け取る	0	0	NA#SH	NA#NA	direct-speech#scrambling
あなたは林に敬語を使いません。あなたと林は吉田に敬語を使いません。	「吉田が頂戴する」と林が言う。	「吉田が食べる」と林が言う。	「吉田が召し上がる」と林が言う	0	0	NA#OH1	NA#NA	direct-speech#scrambling
あなたは山本に敬語を使いません。あなたと山本は渡辺博士に敬語を使います。	「山本が来る」と渡辺博士が承知する。	「山本が来る」と渡辺博士がご理解になる。	山本が来る	0	0	OH1#NA	SH#NA	direct-speech#scrambling
あなたは井上に敬語を使いません。あなたと井上は斎藤先輩に敬語を使います。	「斎藤先輩が頂戴する」と井上が考える。	「斎藤先輩がお食べになる」と井上が考える。	斎藤先輩が召し上がる	0	0	NA#OH1	NA#SH	direct-speech#scrambling
あなたは井上に敬語を使います。あなたと井上は佐々木博士に敬語を使います。	「井上が聞く」と佐々木博士が拝察する。	「井上が聞く」と佐々木博士が考えなさる。	井上が聞く	0	0	OH1#NA	SH#NA	direct-speech#scrambling
あなたは山田に敬語を使います。あなたと山田は木村博士に敬語を使います。	「山田がおいでになる」と木村博士が思う。	「山田が来る」と木村博士が思いなさる。	山田がおいでになる	0	0	NA#SH	SH#NA	direct-speech#scrambling
あなたは吉田に敬語を使います。あなたと吉田は中村様に敬語を使います。	「吉田が頂戴する」と中村様が考える。	「吉田が食べる」と中村様がお考えになる。	「吉田がお召し上がりになる」と中村様が考える	0	0	NA#OH1	SH#NA	direct-speech#scrambling
あなたは加藤に敬語を使います。あなたと加藤は佐藤先輩に敬語を使います。	「加藤が行きなさる」と佐藤先輩がご存じである。	「加藤が行く」と佐藤先輩がご存じである。	加藤が行く	0	0	SH#SH	SH#NA	direct-speech#scrambling
あなたは加藤博士に敬語を使います。あなたと加藤博士は伊藤教授に敬語を使います。	「伊藤教授がお帰りになる」と加藤博士が考える。	「伊藤教授がお帰りになる」と加藤博士が考えなさる。	伊藤教授がお帰りになる	0	0	NA#SH	SH#SH	direct-speech#scrambling
あなたは加藤博士に敬語を使います。あなたと加藤博士は木村先生に敬語を使います。	「木村先生が受け取る」と加藤博士が考えなさる。	「木村先生がお受け取りになる」と加藤博士がお考えになる。	木村先生が受け取りなさる	0	0	SH#NA	SH#SH	direct-speech#scrambling
あなたは吉田博士に敬語を使います。あなたと吉田博士は田中様に敬語を使います。	「田中様がご覧になる」と吉田博士が申し上げる。	「田中様がご覧になる」と吉田博士がおっしゃる。	###\n\n###\n\n###\n\n###\n\n###\n\n###\n\n###\n\n###\n\n###\n\n###\n\n	0	0	OH1#SH	SH#SH	direct-speech#scrambling
あなたは木村先生に敬語を使います。あなたと木村先生は鈴木さんに敬語を使います。	「鈴木さんが頂戴する」と木村先生がおっしゃる。	「鈴木さんがお食べになる」と木村先生がおっしゃる。	「鈴木さんがお召し上がる」と木村先生がおっしゃる	0	1	SH#OH1	SH#SH	direct-speech#scrambling
