relationship	source	target	output	correct (manual)	structure_types	wrong_honorific_types	honorific_types
あなたは井上に敬語を使いません。あなたと井上は田中に敬語を使いません。	田中に井上が伝える。	田中に井上が伝える。	田中に井上から伝えられます	0	scrambling#		NA#
あなたは山本に敬語を使いません。あなたと山本は山田様に敬語を使います。	山本に山田様が会う。	山本に山田様がお会いになる。	山本が山田様に会う	0	scrambling#		SH#
あなたは山本に敬語を使いません。あなたと山本は山田先輩に敬語を使います。	山田先輩に山本が依頼する。	山田先輩に山本がご依頼する。	山田先輩に、山本がお願いします	0	scrambling#		OH1#
あなたは山田さんに敬語を使います。あなたと山田さんは佐藤さんに敬語を使います。	山田さんに佐藤さんが与える。	山田さんに佐藤さんが与えなさる。	山田さんに佐藤さんが与えられる	1	scrambling#		SH#
あなたは田中博士に敬語を使います。あなたと田中博士は佐藤先生に敬語を使います。	佐藤先生に田中博士が会う。	佐藤先生に田中博士がお会いする。	佐藤先生に田中博士がお会いします	1	scrambling#		OH1#
あなたは佐藤に敬語を使いません。あなたと佐藤は斎藤に敬語を使いません。	斎藤を佐藤が呼ぶ。	斎藤を佐藤が呼ぶ。	佐藤が斎藤さんを呼ぶ	1	scrambling#		NA#
あなたは小林に敬語を使いません。あなたと小林は鈴木社長に敬語を使います。	小林を鈴木社長が見送る。	小林を鈴木社長がお見送りになる。	鈴木社長が小林を見送ります	0	scrambling#		SH#
あなたは山口に敬語を使いません。あなたと山口は斎藤博士に敬語を使います。	斎藤博士を山口が呼ぶ。	斎藤博士を山口がお呼びする。	山口が斎藤博士をお呼びになる	0	scrambling#		OH1#
あなたは高橋博士に敬語を使います。あなたと高橋博士は林先生に敬語を使います。	高橋博士を林先生が手伝う。	高橋博士を林先生が手伝いなさる。	高橋博士を林先生がお手伝いされる	1	scrambling#		SH#
あなたは小林社長に敬語を使います。あなたと小林社長は山口さんに敬語を使います。	山口さんを小林社長が待つ。	山口さんを小林社長がお待ちする。	山口さんを小林社長がお待ちしております	1	scrambling#		OH1#
あなたは林に敬語を使いません。あなたと林は山田に敬語を使いません。	林が山田が帰ると考える。	林が山田が帰ると考える。	林が山田が帰ると考えられます	0	indirect-speech#center-embedding		NA#NA
あなたは木村に敬語を使いません。あなたと木村は吉田教授に敬語を使います。	吉田教授が木村が行くと理解する。	吉田教授が木村が行くと理解なさる。	吉田教授が木村が行くことを理解される	1	indirect-speech#center-embedding		SH#NA
あなたは佐々木に敬語を使いません。あなたと佐々木は高橋社長に敬語を使います。	佐々木が高橋社長が食べると知る。	佐々木が高橋社長がお食べになると知る。	佐々木が高橋社長が食べることを知りました	0	indirect-speech#center-embedding		NA#SH
あなたは加藤教授に敬語を使います。あなたと加藤教授は田中教授に敬語を使います。	田中教授が加藤教授が行くと言う。	田中教授が加藤教授が行きなさるとおっしゃる。	田中教授が加藤教授に行くと言われました	0	indirect-speech#center-embedding		SH#SH
あなたは山本教授に敬語を使います。あなたと山本教授は加藤社長に敬語を使います。	山本教授が加藤社長が受け取ると理解する。	山本教授が加藤社長が受け取りなさると理解なさる。	山本教授が加藤社長に受け取っていただくと理解しています	0	indirect-speech#center-embedding		SH#SH
あなたは中村に敬語を使いません。あなたと中村は佐々木に敬語を使いません。	佐々木が帰ると中村が理解する。	佐々木が帰ると中村が理解する。	佐々木が帰ると、中村が理解される	0	indirect-speech#scrambling		NA#NA
あなたは松本に敬語を使いません。あなたと松本は井上さんに敬語を使います。	松本が帰ると井上さんが考える。	松本が帰ると井上さんが考えなさる。	井上さんが松本さんが帰ると考える	0	indirect-speech#scrambling		SH#NA
あなたは加藤に敬語を使いません。あなたと加藤は吉田博士に敬語を使います。	吉田博士が来ると加藤が言う。	吉田博士がおいでになると加藤が言う。	加藤が「吉田博士が来ますね」と言います	0	indirect-speech#scrambling		NA#SH
あなたは佐藤教授に敬語を使います。あなたと佐藤教授は山本社長に敬語を使います。	佐藤教授が来ると山本社長が理解する。	佐藤教授がおいでになると山本社長が理解なさる。	佐藤教授が来ると、山本社長が理解される	0	indirect-speech#scrambling		SH#SH
あなたは小林先輩に敬語を使います。あなたと小林先輩は佐藤先生に敬語を使います。	佐藤先生が見ると小林先輩が考える。	佐藤先生がご覧になると小林先輩が考えなさる。	佐藤先生が見ると、小林先輩が考えられます	0	indirect-speech#scrambling		SH#SH
あなたは山田に敬語を使いません。あなたと山田は山本に敬語を使いません。	山田が「山本が読む」と知る。	山田が「山本が読む」と知る。	山田が「山本さんが読む」と知る	1	direct-speech#center-embedding		NA#NA
あなたは伊藤に敬語を使いません。あなたと伊藤は渡辺様に敬語を使います。	渡辺様が「伊藤が聞く」と知る。	渡辺様が「伊藤が聞く」とご存じである。	渡辺様が「伊藤に聞かせていただく」と知る	0	direct-speech#center-embedding		SH#NA
あなたは渡辺に敬語を使いません。あなたと渡辺は中村教授に敬語を使います。	渡辺が「中村教授が食べる」と言う。	渡辺が「中村教授がお食べになる」と言う。	中村教授が食べられる	0	direct-speech#center-embedding		NA#SH
あなたは鈴木に敬語を使います。あなたと鈴木は山口教授に敬語を使います。	山口教授が「鈴木が受け取る」と言う。	山口教授が「鈴木が受け取る」とおっしゃる。	「鈴木が受け取られる」と言う	0	direct-speech#center-embedding		SH#NA
あなたは吉田先生に敬語を使います。あなたと吉田先生は山本さんに敬語を使います。	吉田先生が「山本さんが聞く」と理解する。	吉田先生が「山本さんがお聞きになる」とご理解になる。	吉田先生が「山本さんが聞かれる」と理解する	0	direct-speech#center-embedding		SH#SH
あなたは佐々木に敬語を使いません。あなたと佐々木は渡辺に敬語を使いません。	「渡辺が見る」と佐々木が理解する。	「渡辺が見る」と佐々木が理解する。	「渡辺さんが見られる」と佐々木さんが理解される	0	direct-speech#scrambling		NA#NA
あなたは小林に敬語を使いません。あなたと小林は斎藤博士に敬語を使います。	「小林が行く」と斎藤博士が言う。	「小林が行く」と斎藤博士がおっしゃる。	「小林が行く」と斎藤博士がおっしゃいます	1	direct-speech#scrambling		SH#NA
あなたは鈴木に敬語を使いません。あなたと鈴木は吉田さんに敬語を使います。	「吉田さんが行く」と鈴木が理解する。	「吉田さんがおいでになる」と鈴木が理解する。	「吉田さんが行かれる」と鈴木が理解される	0	direct-speech#scrambling		NA#SH
あなたは小林に敬語を使います。あなたと小林は井上様に敬語を使います。	「小林が見る」と井上様が思う。	「小林が見る」と井上様が思いなさる。	「小林が見られる」と井上様が思われる	0	direct-speech#scrambling		SH#NA
あなたは山本さんに敬語を使います。あなたと山本さんは林様に敬語を使います。	「林様が聞く」と山本さんが思う。	「林様がお聞きになる」と山本さんが思いなさる。	「林さんが聞かれる」と山本さんが思われる	1	direct-speech#scrambling		SH#SH
あなたは鈴木に敬語を使いません。あなたと鈴木は佐々木に敬語を使いません。	佐々木に鈴木が与えなさる。	佐々木に鈴木が与える。	佐々木に鈴木が与えられる	0	scrambling#	SH#	NA#
あなたは山田に敬語を使いません。あなたと山田は伊藤に敬語を使いません。	伊藤に山田がお会いする。	伊藤に山田が会う。	伊藤さんに山田さんがお会いします	0	scrambling#	OH1#	NA#
あなたは山口に敬語を使いません。あなたと山口は山田先輩に敬語を使います。	山口に山田先輩が差し上げる。	山口に山田先輩が与えなさる。	山口に山田先輩から差し上げられる	1	scrambling#	OH1#	SH#
あなたは加藤に敬語を使いません。あなたと加藤は中村社長に敬語を使います。	中村社長に加藤がお会いになる。	中村社長に加藤がお会いする。	中村社長に加藤がお会いになりました	0	scrambling#	SH#	OH1#
あなたは斎藤教授に敬語を使います。あなたと斎藤教授は伊藤教授に敬語を使います。	斎藤教授に伊藤教授が差し上げる。	斎藤教授に伊藤教授が与えなさる。	斎藤教授に伊藤教授から差し上げられる	1	scrambling#	OH1#	SH#
あなたは小林さんに敬語を使います。あなたと小林さんは高橋様に敬語を使います。	高橋様に小林さんがご依頼になる。	高橋様に小林さんがご依頼する。	高橋様に小林さんがお願いになる	0	scrambling#	SH#	OH1#
あなたは木村に敬語を使いません。あなたと木村は林に敬語を使いません。	林を木村がお呼びになる。	林を木村が呼ぶ。	林を木村さんにお呼びになる	0	scrambling#	SH#	NA#
あなたは山口に敬語を使いません。あなたと山口は小林に敬語を使いません。	小林を山口がお呼びする。	小林を山口が呼ぶ。	山口が小林をお呼びします	0	scrambling#	OH1#	NA#
あなたは井上に敬語を使いません。あなたと井上は鈴木先輩に敬語を使います。	井上を鈴木先輩がお見送りする。	井上を鈴木先輩が見送りなさる。	井上を鈴木先輩がお見送りしてくださいます	1	scrambling#	OH1#	SH#
あなたは山田に敬語を使いません。あなたと山田は田中さんに敬語を使います。	田中さんを山田が呼びなさる。	田中さんを山田がお呼びする。	山田が田中さんをお呼びなさいます	0	scrambling#	SH#	OH1#
あなたは伊藤博士に敬語を使います。あなたと伊藤博士は田中博士に敬語を使います。	伊藤博士を田中博士がお待ちする。	伊藤博士を田中博士が待ちなさる。	伊藤博士を田中博士がお待ちしております	0	scrambling#	OH1#	SH#
あなたは林さんに敬語を使います。あなたと林さんは高橋先生に敬語を使います。	高橋先生を林さんがお待ちになる。	高橋先生を林さんがお待ちする。	林さんが高橋先生をお待ちになっています	0	scrambling#	SH#	OH1#
あなたは鈴木に敬語を使いません。あなたと鈴木は木村に敬語を使いません。	鈴木が木村が受け取るとおっしゃる。	鈴木が木村が受け取ると言う。	鈴木が木村に受け取っていただくとおっしゃる	0	indirect-speech#center-embedding	SH#	NA#NA
あなたは山口に敬語を使いません。あなたと山口は渡辺に敬語を使いません。	山口が渡辺が食べるとお思いになる。	山口が渡辺が食べると思う。	山口が渡辺が食べると思われます	0	indirect-speech#center-embedding	SH#	NA#NA
あなたは佐々木に敬語を使いません。あなたと佐々木は山本社長に敬語を使います。	山本社長が佐々木が受け取ると承知する。	山本社長が佐々木が受け取るとご理解になる。	山本社長に、佐々木が受け取ることを承知していただきます	0	indirect-speech#center-embedding	OH1#NA	SH#NA
あなたは佐藤に敬語を使いません。あなたと佐藤は井上教授に敬語を使います。	佐藤が井上教授がおいとますると考える。	佐藤が井上教授がお帰りになると考える。	佐藤が井上教授がおいとまされると考えます	1	indirect-speech#center-embedding	NA#OH1	NA#SH
あなたは山口さんに敬語を使います。あなたと山口さんは吉田社長に敬語を使います。	吉田社長が山口さんがお帰りになると言う。	吉田社長が山口さんがお帰りになるとおっしゃる。	吉田社長が山口さんがお帰りになられると言われました	1	indirect-speech#center-embedding	NA#SH	SH#SH
あなたは佐々木教授に敬語を使います。あなたと佐々木教授は鈴木先輩に敬語を使います。	鈴木先輩が佐々木教授が来るとお思いになる。	鈴木先輩が佐々木教授がおいでになると思いなさる。	佐々木教授が来られると鈴木先輩がお思いになるでしょう	1	indirect-speech#center-embedding	SH#NA	SH#SH
あなたは木村先輩に敬語を使います。あなたと木村先輩は田中社長に敬語を使います。	田中社長が木村先輩がおいでになると拝察する。	田中社長が木村先輩がおいでになるとお思いになる。	田中社長が木村先輩がお越しになると拝察いたします	0	indirect-speech#center-embedding	OH1#SH	SH#SH
あなたは中村教授に敬語を使います。あなたと中村教授は佐藤先生に敬語を使います。	佐藤先生が中村教授がお受け取りするとご存じである。	佐藤先生が中村教授がお受け取りになると知りなさる。	中村教授がお受け取りいただけることを、佐藤先生はご存じでしょうか	0	indirect-speech#center-embedding	SH#OH1	SH#SH
あなたは山田博士に敬語を使います。あなたと山田博士は山口先輩に敬語を使います。	山口先輩が山田博士がおいとますると承知する。	山口先輩が山田博士がお帰りになるとご理解になる。	山口先輩が山田博士がおいとまされることを承知します	0	indirect-speech#center-embedding	OH1#OH1	SH#SH
あなたは木村先生に敬語を使います。あなたと木村先生は松本先生に敬語を使います。	木村先生が松本先生がお帰りになると思う。	木村先生が松本先生がお帰りになるとお思いになる。	木村先生が松本先生がお帰りになられると思います	0	indirect-speech#center-embedding	NA#SH	SH#SH
あなたは高橋教授に敬語を使います。あなたと高橋教授は山口社長に敬語を使います。	高橋教授が山口社長が読むと知りなさる。	高橋教授が山口社長がお読みになるとご存じである。	高橋教授が山口社長に読まれることを知りなさい	0	indirect-speech#center-embedding	SH#NA	SH#SH
あなたは小林教授に敬語を使います。あなたと小林教授は山本さんに敬語を使います。	小林教授が山本さんが行きなさると拝察する。	小林教授が山本さんがおいでになるとお思いになる。	小林教授が山本さんが行くと拝察します	0	indirect-speech#center-embedding	OH1#SH	SH#SH
あなたは高橋先輩に敬語を使います。あなたと高橋先輩は木村教授に敬語を使います。	高橋先輩が木村教授がおいとまするとご理解になる。	高橋先輩が木村教授がお帰りになると理解なさる。	高橋先輩が木村教授がおいとまされることをご理解いただけますか	0	indirect-speech#center-embedding	SH#OH1	SH#SH
あなたは小林先輩に敬語を使います。あなたと小林先輩は松本様に敬語を使います。	小林先輩が松本様が拝見すると承知する。	小林先輩が松本様がご覧になると理解なさる。	小林先輩が松本さまが拝見されることを承知します	0	indirect-speech#center-embedding	OH1#OH1	SH#SH
あなたは渡辺に敬語を使いません。あなたと渡辺は中村に敬語を使いません。	中村が食べると渡辺がお考えになる。	中村が食べると渡辺が考える。	中村が食べると渡辺さんがお考えになる	0	indirect-speech#scrambling	SH#NA	NA#NA
あなたは小林に敬語を使いません。あなたと小林は山田に敬語を使いません。	山田が読むと小林が存じ上げる。	山田が読むと小林が知る。	山田様が読むと、小林さんがご存知でしょう	0	indirect-speech#scrambling	OH1#NA	NA#NA
あなたは井上に敬語を使いません。あなたと井上は佐藤に敬語を使いません。	佐藤がお帰りになると井上が思う。	佐藤が帰ると井上が思う。	井上が佐藤さんがお帰りになると思われます	0	indirect-speech#scrambling	NA#SH	NA#NA
あなたは伊藤に敬語を使いません。あなたと伊藤は佐藤に敬語を使いません。	佐藤がお読みすると伊藤が言う。	佐藤が読むと伊藤が言う。	佐藤さんがお読みされると、伊藤さんが言われる	0	indirect-speech#scrambling	NA#OH1	NA#NA
あなたは山本に敬語を使いません。あなたと山本は斎藤博士に敬語を使います。	山本が食べると斎藤博士が拝察する。	山本が食べると斎藤博士がお思いになる。	山本が食べると斎藤博士が見察される	0	indirect-speech#scrambling	OH1#NA	SH#NA
あなたは井上に敬語を使いません。あなたと井上は中村教授に敬語を使います。	中村教授がおいとますると井上が思う。	中村教授がお帰りになると井上が思う。	中村教授がお思いとまされると、井上さんが思われます	0	indirect-speech#scrambling	NA#OH1	NA#SH
あなたは中村社長に敬語を使います。あなたと中村社長は小林教授に敬語を使います。	中村社長がお帰りになると小林教授が理解する。	中村社長がお帰りになると小林教授がご理解になる。	中村社長がお帰りになられると小林教授が理解される	0	indirect-speech#scrambling	NA#SH	SH#SH
あなたは松本社長に敬語を使います。あなたと松本社長は中村先生に敬語を使います。	松本社長が行くと中村先生がおっしゃる。	松本社長が行きなさると中村先生がおっしゃる。	松本社長が行くと、中村先生がおっしゃいます	0	indirect-speech#scrambling	SH#NA	SH#SH
あなたは斎藤教授に敬語を使います。あなたと斎藤教授は鈴木社長に敬語を使います。	斎藤教授がお帰りになると鈴木社長が拝察する。	斎藤教授がお帰りになると鈴木社長がお考えになる。	斎藤教授がお帰りになると、鈴木社長がお見かけになる	1	indirect-speech#scrambling	OH1#SH	SH#SH
あなたは渡辺先輩に敬語を使います。あなたと渡辺先輩は山本教授に敬語を使います。	渡辺先輩が拝見すると山本教授が知りなさる。	渡辺先輩がご覧になると山本教授がご存じである。	渡辺先輩が拝見されると山本教授がご存知なさいます	0	indirect-speech#scrambling	SH#OH1	SH#SH
あなたは山田様に敬語を使います。あなたと山田様は吉田社長に敬語を使います。	山田様が伺うと吉田社長が拝察する。	山田様がおいでになると吉田社長が思いなさる。	山田様が伺ったと吉田社長がご拝察いただきました	0	indirect-speech#scrambling	OH1#OH1	SH#SH
あなたは佐藤社長に敬語を使います。あなたと佐藤社長は井上さんに敬語を使います。	井上さんがご覧になると佐藤社長が言う。	井上さんがご覧になると佐藤社長がおっしゃる。	井上さんがご覧になられると、佐藤社長がおっしゃいます	1	indirect-speech#scrambling	NA#SH	SH#SH
あなたは林さんに敬語を使います。あなたと林さんは加藤博士に敬語を使います。	加藤博士が行くと林さんがお考えになる。	加藤博士がおいでになると林さんがお考えになる。	林さんが加藤博士が行くことをお考えになるのですね	0	indirect-speech#scrambling	SH#NA	SH#SH
あなたは渡辺社長に敬語を使います。あなたと渡辺社長は佐々木先生に敬語を使います。	佐々木先生がご覧になると渡辺社長が拝察する。	佐々木先生がご覧になると渡辺社長が思いなさる。	佐々木先生がご覧になると渡辺社長がご拝察いたします	0	indirect-speech#scrambling	OH1#SH	SH#SH
あなたは伊藤先輩に敬語を使います。あなたと伊藤先輩は高橋博士に敬語を使います。	高橋博士が伺うと伊藤先輩が思いなさる。	高橋博士がおいでになると伊藤先輩が思いなさる。	伊藤先輩が高橋博士に思いなさいます	0	indirect-speech#scrambling	SH#OH1	SH#SH
あなたは松本先生に敬語を使います。あなたと松本先生は山田先輩に敬語を使います。	山田先輩が伺うと松本先生が存じ上げる。	山田先輩がおいでになると松本先生が知りなさる。	山田先輩が伺うと松本先生がご存知です	0	indirect-speech#scrambling	OH1#OH1	SH#SH
あなたは小林に敬語を使いません。あなたと小林は吉田に敬語を使いません。	小林が「吉田が聞く」とおっしゃる。	小林が「吉田が聞く」と言う。	小林が「吉田さんが聞かれる」とおっしゃる	0	direct-speech#center-embedding	SH#NA	NA#NA
あなたは木村に敬語を使いません。あなたと木村は小林に敬語を使いません。	木村が「小林が食べる」と申し上げる。	木村が「小林が食べる」と言う。	木村が「小林さんが食べる」と申し上げる	0	direct-speech#center-embedding	OH1#NA	NA#NA
あなたは小林に敬語を使いません。あなたと小林は高橋に敬語を使いません。	小林が「高橋がおいでになる」と思う。	小林が「高橋が行く」と思う。	小林が「高橋さんがおいでになる」と思う	0	direct-speech#center-embedding	NA#SH	NA#NA
あなたは松本に敬語を使いません。あなたと松本は小林に敬語を使いません。	松本が「小林が伺う」と知る。	松本が「小林が来る」と知る。	松本が「小林さんがお伺いします」と知る	0	direct-speech#center-embedding	NA#OH1	NA#NA
あなたは林に敬語を使いません。あなたと林は田中社長に敬語を使います。	田中社長が「林が受け取る」と存じ上げる。	田中社長が「林が受け取る」と知りなさる。	田中社長が「林さんが受け取られる」と存じ上げます	0	direct-speech#center-embedding	OH1#NA	SH#NA
あなたは中村に敬語を使いません。あなたと中村は山本先生に敬語を使います。	中村が「山本先生が伺う」と思う。	中村が「山本先生がおいでになる」と思う。	中村が「山本先生がお伺いしたいと思っている」と思う	0	direct-speech#center-embedding	NA#OH1	NA#SH
あなたは中村に敬語を使います。あなたと中村は山口さんに敬語を使います。	山口さんが「中村が来る」と承知する。	山口さんが「中村が来る」と理解なさる。	中村さんが来られると承知しました	0	direct-speech#center-embedding	OH1#NA	SH#NA
あなたは木村に敬語を使います。あなたと木村は佐々木社長に敬語を使います。	佐々木社長が「木村がお帰りになる」と言う。	佐々木社長が「木村が帰る」とおっしゃる。	佐々木社長が「木村さんがお帰りになられる」と言う	0	direct-speech#center-embedding	NA#SH	SH#NA
あなたは田中に敬語を使います。あなたと田中は斎藤博士に敬語を使います。	斎藤博士が「田中が拝見する」と理解する。	斎藤博士が「田中が見る」と理解なさる。	田中が斎藤博士を拝見させていただきます	0	direct-speech#center-embedding	NA#OH1	SH#NA
あなたは井上に敬語を使います。あなたと井上は吉田社長に敬語を使います。	吉田社長が「井上が召し上がる」と思いなさる。	吉田社長が「井上が食べる」とお思いになる。	井上が召し上がられると思いなさいます	0	direct-speech#center-embedding	SH#SH	SH#NA
あなたは木村博士に敬語を使います。あなたと木村博士は佐々木社長に敬語を使います。	木村博士が「佐々木社長がお帰りになる」と理解する。	木村博士が「佐々木社長がお帰りになる」と理解なさる。	木村博士が「佐々木社長がお帰りになられる」と理解する	0	direct-speech#center-embedding	NA#SH	SH#SH
あなたは斎藤博士に敬語を使います。あなたと斎藤博士は中村博士に敬語を使います。	斎藤博士が「中村博士が来る」とご存じである。	斎藤博士が「中村博士がおいでになる」と知りなさる。	中村博士がお越しになることを、斎藤博士がご存じであると存じます	1	direct-speech#center-embedding	SH#NA	SH#SH
あなたは井上様に敬語を使います。あなたと井上様は木村先生に敬語を使います。	井上様が「木村先生がご覧になる」と承知する。	井上様が「木村先生がご覧になる」とご理解になる。	井上様が「木村先生にご覧になっていただく」と承知します	0	direct-speech#center-embedding	OH1#SH	SH#SH
あなたは小林さんに敬語を使います。あなたと小林さんは佐々木先生に敬語を使います。	小林さんが「佐々木先生が頂戴する」とご理解になる。	小林さんが「佐々木先生がお食べになる」と理解なさる。	小林さんが「佐々木先生に頂戴いたします」とご理解になる	0	direct-speech#center-embedding	SH#OH1	SH#SH
あなたは田中教授に敬語を使います。あなたと田中教授は伊藤様に敬語を使います。	田中教授が「伊藤様が伺う」と拝察する。	田中教授が「伊藤様が行きなさる」と考えなさる。	田中教授が「伊藤さんがお伺いします」とお見解される	0	direct-speech#center-embedding	OH1#OH1	SH#SH
あなたは井上に敬語を使いません。あなたと井上は加藤に敬語を使いません。	「加藤が来る」と井上が理解なさる。	「加藤が来る」と井上が理解する。	「加藤さんが来られる」と井上さんが理解される	0	direct-speech#scrambling	SH#NA	NA#NA
あなたは木村に敬語を使いません。あなたと木村は山口に敬語を使いません。	「山口が見る」と木村が申し上げる。	「山口が見る」と木村が言う。	「山口さんが見られる」と木村さんが申し上げられる	0	direct-speech#scrambling	OH1#NA	NA#NA
あなたは中村に敬語を使いません。あなたと中村は木村に敬語を使いません。	「木村が読みなさる」と中村が言う。	「木村が読む」と中村が言う。	「木村さんが読みなさる」と中村さんが言う	0	direct-speech#scrambling	NA#SH	NA#NA
あなたは林に敬語を使いません。あなたと林は佐藤に敬語を使いません。	「佐藤がお読みする」と林が知る。	「佐藤が読む」と林が知る。	「佐藤さんがお読みされる」と林さんがご存知ですか	0	direct-speech#scrambling	NA#OH1	NA#NA
あなたは斎藤に敬語を使いません。あなたと斎藤は佐藤さんに敬語を使います。	「斎藤が読む」と佐藤さんが拝察する。	「斎藤が読む」と佐藤さんがお考えになる。	「斎藤が読む」と佐藤さんがご拝察します	0	direct-speech#scrambling	OH1#NA	SH#NA
あなたは田中に敬語を使いません。あなたと田中は佐々木社長に敬語を使います。	「佐々木社長が伺う」と田中が理解する。	「佐々木社長がおいでになる」と田中が理解する。	「佐々木社長がお伺いします」と田中が理解されます	0	direct-speech#scrambling	NA#OH1	NA#SH
あなたは田中に敬語を使います。あなたと田中は中村さんに敬語を使います。	「田中が受け取る」と中村さんが承知する。	「田中が受け取る」と中村さんが理解なさる。	「田中さんが受け取られる」と中村さんが承知される	0	direct-speech#scrambling	OH1#NA	SH#NA
あなたは鈴木に敬語を使います。あなたと鈴木は佐々木さんに敬語を使います。	「鈴木が読みなさる」と佐々木さんが言う。	「鈴木が読む」と佐々木さんがおっしゃる。	「鈴木が読みなさいと、佐々木さんがおっしゃいます」	1	direct-speech#scrambling	NA#SH	SH#NA
あなたは小林に敬語を使います。あなたと小林は佐藤博士に敬語を使います。	「小林がおいとまする」と佐藤博士が知る。	「小林が帰る」と佐藤博士がご存じである。	「小林がお帰りになる」と佐藤博士が知らせられました	0	direct-speech#scrambling	NA#OH1	SH#NA
あなたは高橋に敬語を使います。あなたと高橋は中村社長に敬語を使います。	「高橋が召し上がる」と中村社長がおっしゃる。	「高橋が食べる」と中村社長がおっしゃる。	「高橋が召し上がられる」と中村社長がおっしゃる	0	direct-speech#scrambling	SH#SH	SH#NA
あなたは吉田博士に敬語を使います。あなたと吉田博士は鈴木先生に敬語を使います。	「鈴木先生がお読みになる」と吉田博士が思う。	「鈴木先生が読みなさる」と吉田博士がお思いになる。	「吉田博士がご覧になる」と鈴木先生が思う	0	direct-speech#scrambling	NA#SH	SH#SH
あなたは佐々木さんに敬語を使います。あなたと佐々木さんは吉田様に敬語を使います。	「吉田様が帰る」と佐々木さんがお考えになる。	「吉田様がお帰りになる」と佐々木さんが考えなさる。	佐々木さんが「吉田さまが帰られる」とお考えになる	1	direct-speech#scrambling	SH#NA	SH#SH
あなたは吉田先輩に敬語を使います。あなたと吉田先輩は中村博士に敬語を使います。	「中村博士が召し上がる」と吉田先輩が申し上げる。	「中村博士がお食べになる」と吉田先輩がおっしゃる。	「中村博士が召し上がられる」と吉田先輩が申し上げられる	0	direct-speech#scrambling	OH1#SH	SH#SH
あなたは佐藤先生に敬語を使います。あなたと佐藤先生は伊藤教授に敬語を使います。	「伊藤教授が拝見する」と佐藤先生が知りなさる。	「伊藤教授がご覧になる」と佐藤先生がご存じである。	「伊藤教授にご覧になる」と佐藤先生がご存知なさる	0	direct-speech#scrambling	SH#OH1	SH#SH
あなたは山口先生に敬語を使います。あなたと山口先生は小林様に敬語を使います。	「小林様が伺う」と山口先生が承知する。	「小林様がおいでになる」と山口先生が理解なさる。	「小林様が伺っておられる」と山口先生が承知されました	0	direct-speech#scrambling	OH1#OH1	SH#SH
